coin,date_start,date_end,n_test,target,model,acc,f1
ETH,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,LSTM,0.6666666666666666,0.8
ETH,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,Transformer,0.6,0.6666666666666666
ETH,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
ETH,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5853658536585366
ETH,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
ETH,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5789473684210527
ETH,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
ETH,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,Transformer,0.6,0.7
ETH,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
ETH,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5555555555555556
ETH,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
ETH,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5789473684210527
ETH,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.5365853658536586
ETH,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.37037037037037035
ETH,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.41379310344827586
ETH,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,Transformer,0.5,0.6341463414634146
ETH,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
ETH,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5161290322580645
ETH,2024-11-21 00:00:00+00:00,2024-12-20 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
