coin,date_start,date_end,n_test,target,model,acc,auc,f1
BTC,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5333333333333333,0.28125,0.5
BTC,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
BTC,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.17857142857142858,0.3333333333333333
BTC,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5666666666666667,0.3125,0.6060606060606061
BTC,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,Naive_Majority,0.5333333333333333,0.5,0.6956521739130435
BTC,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.21428571428571427,0.42857142857142855
BTC,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5333333333333333,0.0,0.6956521739130435
BTC,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.14479638009049775,0.47058823529411764
BTC,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,Naive_Majority,0.5666666666666667,0.5,0.723404255319149
BTC,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.2171945701357466,0.5
BTC,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5666666666666667,0.0,0.723404255319149
BTC,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.125,0.5
BTC,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,Naive_Majority,0.6,0.5,0.75
BTC,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,Random_Walk,0.5333333333333333,0.2916666666666667,0.5
BTC,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,GARCH11_directional,0.6,0.0,0.75
BTC,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.16,0.4
BTC,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.21333333333333335,0.5
BTC,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5,0.21052631578947367,0.5945945945945946
BTC,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,Naive_Majority,0.6333333333333333,0.5,0.7755102040816326
BTC,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,Random_Walk,0.5333333333333333,0.28708133971291866,0.5882352941176471
BTC,2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,target_direction,GARCH11_directional,0.6333333333333333,0.0,0.7755102040816326
BTC,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5333333333333333,0.22966507177033493,0.631578947368421
BTC,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,Naive_Majority,0.6333333333333333,0.5,0.7755102040816326
BTC,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,Random_Walk,0.4666666666666667,0.22966507177033493,0.42857142857142855
BTC,2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,target_direction,GARCH11_directional,0.6333333333333333,0.0,0.7755102040816326
BTC,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,Naive_Persistence,0.36666666666666664,0.13333333333333333,0.3870967741935484
BTC,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,Random_Walk,0.5333333333333333,0.28444444444444444,0.5333333333333333
BTC,2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,Naive_Persistence,0.43333333333333335,0.17857142857142858,0.37037037037037035
BTC,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
BTC,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,Random_Walk,0.6,0.32142857142857145,0.5
BTC,2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,target_direction,GARCH11_directional,0.4666666666666667,0.0,0.6363636363636364
BTC,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5,0.24434389140271492,0.4444444444444444
BTC,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,Naive_Majority,0.43333333333333335,0.5,0.6046511627906976
BTC,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,Random_Walk,0.6,0.36199095022624433,0.625
BTC,2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,target_direction,GARCH11_directional,0.43333333333333335,0.0,0.6046511627906976
BTC,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5333333333333333,0.28125,0.5625
BTC,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,Naive_Majority,0.5333333333333333,0.5,0.6956521739130435
BTC,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,Random_Walk,0.5333333333333333,0.26785714285714285,0.5882352941176471
BTC,2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5333333333333333,0.0,0.6956521739130435
BTC,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,Naive_Persistence,0.3333333333333333,0.09502262443438914,0.23076923076923078
BTC,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,Naive_Majority,0.43333333333333335,0.5,0.6046511627906976
BTC,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,Random_Walk,0.5333333333333333,0.2895927601809955,0.5333333333333333
BTC,2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,target_direction,GARCH11_directional,0.43333333333333335,0.0,0.6046511627906976
BTC,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5666666666666667,0.3167420814479638,0.6060606060606061
BTC,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,Naive_Majority,0.5666666666666667,0.5,0.723404255319149
BTC,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,Random_Walk,0.6,0.34841628959276016,0.6470588235294118
BTC,2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5666666666666667,0.0,0.723404255319149
BTC,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,Naive_Persistence,0.43333333333333335,0.18666666666666668,0.45161290322580644
BTC,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,Naive_Majority,0.5,0.5,0.6666666666666666
BTC,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,Random_Walk,0.6333333333333333,0.4,0.6206896551724138
BTC,2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5,0.0,0.6666666666666666
BTC,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5666666666666667,0.3055555555555556,0.6285714285714286
BTC,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,Naive_Majority,0.6,0.5,0.75
BTC,2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,target_direction,Random_Walk,0.5666666666666667,0.3055555555555556,0.6285714285714286
